,City,Latitude,Longitude,Temperature,Humidity,Cloud_Cover,Wind,Country,Date
0,rikitea,-23.12,-134.97,71.15,75,0,13.33,PF,1597532320
1,kapaa,22.08,-159.32,84.79,66,40,12.75,US,1597532320
2,atar,20.52,-13.05,101.48,21,73,6.69,MR,1597532320
3,emborion,40.48,21.55,66.2,93,3,1.12,GR,1597532320
4,port alfred,-33.59,26.89,52.45,67,98,21.03,ZA,1597532044
5,atuona,-9.8,-139.03,78.08,75,17,14.99,PF,1597532321
6,butaritari,3.07,172.79,82.08,73,95,13.56,KI,1597532321
7,mar del plata,-38.0,-57.56,46.13,45,5,11.41,AR,1597532105
8,livingston,55.9,-3.52,57.56,100,75,8.05,GB,1597532321
9,ushuaia,-54.8,-68.3,33.8,69,40,9.17,AR,1597532120
10,souillac,-20.52,57.52,71.6,73,20,14.99,MU,1597532322
11,albany,42.6,-73.97,77.0,57,70,5.97,US,1597532323
12,cockburn town,21.46,-71.14,86.0,70,40,11.41,TC,1597532323
13,north platte,41.12,-100.77,82.9,39,90,6.93,US,1597532323
14,punta arenas,-53.15,-70.92,33.39,86,75,28.86,CL,1597532323
15,torbay,47.67,-52.73,55.4,71,20,4.7,CA,1597532324
16,victoria,22.29,114.16,81.86,83,40,5.82,HK,1597532268
17,bethel,41.37,-73.41,73.6,60,1,14.99,US,1597532324
18,vaini,-21.2,-175.2,73.4,64,40,11.41,TO,1597532325
19,qaanaaq,77.48,-69.36,41.56,70,3,3.87,GL,1597532325
20,bredasdorp,-34.53,20.04,44.6,87,24,9.17,ZA,1597532325
21,manzhouli,49.6,117.43,63.55,79,90,3.71,CN,1597532325
22,pevek,69.7,170.31,41.58,79,0,8.23,RU,1597532325
23,jamestown,42.1,-79.24,74.93,64,1,10.29,US,1597532326
24,hobart,-42.88,147.33,52.9,87,90,8.05,AU,1597532289
25,whitefish,48.41,-114.34,83.59,23,1,12.75,US,1597532326
26,nam phong,16.7,102.86,77.0,94,75,2.24,TH,1597532326
27,pasighat,28.07,95.33,77.09,89,100,2.55,IN,1597532327
28,xuanhua,40.61,115.04,69.98,69,53,3.38,CN,1597532327
29,new norfolk,-42.78,147.06,51.37,93,100,1.01,AU,1597532328
30,umred,20.85,79.33,75.2,94,90,4.7,IN,1597532328
31,castro,-24.79,-50.01,59.04,95,99,3.62,BR,1597532328
32,lompoc,34.64,-120.46,89.26,47,1,9.17,US,1597532328
33,lulea,65.58,22.15,59.0,58,8,12.75,SE,1597532329
34,nikolskoye,59.7,30.79,56.73,93,93,2.24,RU,1597532329
35,kisoro,-1.29,29.68,60.84,77,97,1.48,UG,1597532329
36,tura,25.52,90.22,74.57,94,97,4.38,IN,1597532329
37,xichang,27.9,102.26,67.87,83,100,3.04,CN,1597532330
38,tres arroyos,-38.37,-60.28,39.9,66,0,11.45,AR,1597532330
39,bitung,1.45,125.18,75.2,88,20,6.85,ID,1597532330
40,kodiak,57.79,-152.41,73.4,38,1,18.34,US,1597532330
41,hotaka,36.34,137.88,82.0,71,93,0.31,JP,1597532330
42,newberry,34.27,-81.62,81.45,74,1,4.7,US,1597532331
43,mokobeng,-23.0,27.67,59.79,32,0,3.18,BW,1597532331
44,sungairaya,0.7,108.9,77.11,86,100,5.55,ID,1597532331
45,presidencia roque saenz pena,-26.79,-60.44,60.98,54,0,6.93,AR,1597532331
46,vlore,40.47,19.49,75.7,79,0,5.64,AL,1597532332
47,verkhnevilyuysk,63.45,120.32,48.02,62,97,6.64,RU,1597532332
48,viedma,-40.81,-63.0,41.47,61,0,10.27,AR,1597532332
49,kstovo,56.15,44.2,42.4,100,1,5.53,RU,1597532332
50,mataura,-46.19,168.86,50.0,82,0,1.01,NZ,1597532333
51,bagamoyo,-6.43,38.9,69.82,86,80,5.14,TZ,1597532333
52,port hedland,-20.32,118.57,57.2,82,0,5.82,AU,1597532333
53,conde,-7.26,-34.91,73.4,94,58,5.82,BR,1597532334
54,bhindar,24.5,74.18,75.34,95,100,6.89,IN,1597532334
55,acarau,-2.89,-40.12,78.64,74,88,18.48,BR,1597532256
56,sao joao da barra,-21.64,-41.05,74.62,85,15,21.45,BR,1597532334
57,thompson,55.74,-97.86,66.2,59,75,29.97,CA,1597532334
58,sitka,57.05,-135.33,57.2,87,90,3.58,US,1597532335
59,walvis bay,-22.96,14.51,50.4,76,0,3.36,NA,1597532335
